twa/tws;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0
43.5;4.62;0;0;0;0;0;0
41.6;0;5.43;0;0;0;0;0
41.4;0;0;6.19;0;0;0;0
40.5;0;0;0;6.68;0;0;0
39.6;0;0;0;0;6.85;0;0
39.2;0;0;0;0;0;6.92;0
39.5;0;0;0;0;0;0;7.01
52;5.17;6.15;6.93;7.36;7.56;7.64;7.68
60;5.5;6.49;7.19;7.56;7.76;7.87;7.93
75;5.75;6.78;7.39;7.73;7.97;8.16;8.38
90;5.77;6.94;7.59;7.94;8.12;8.29;8.77
110;5.77;6.99;7.66;8.06;8.44;8.83;9.27
120;5.58;6.79;7.54;7.96;8.36;8.8;9.66
135;4.99;6.14;7.1;7.67;8.05;8.45;9.32
150;4.21;5.3;6.26;7.09;7.63;8;8.76
144;4.5;0;0;0;0;0;0
147.9;0;5.42;0;0;0;0;0
151.4;0;0;6.17;0;0;0;0
154.8;0;0;0;6.85;0;0;0
168.8;0;0;0;0;6.99;0;0
180;0;0;0;0;0;7.44;0
180;0;0;0;0;0;0;8.17